id,name,tel,email,website,position
24,Congregation Ohab Zedek,2127495150,www.ozny.org,http://www.ozny.org/,1
27,Radio City Synagogue,2129720770,,,2
28,Congregation Beth Israel West Side Jewish Center,2125025291,info@westsidejewishcenter.org,http://www.westsidejewishcenter.org,3
30,Fifth Avenue Synagogue,2128382122,info@5as.org,http://www.5as.org,1
37,Wolfson Group,2124129123,jenee@wolfsongroup.com ,,5
38,Union Of Orthodox Jewish Congregations Of America,2125634000,info@ou.org,http://www.ou.org/,2
39,Downtown Beis Medrash,"2,127,974,362,241",hfishman@rafterpllc.com,,7
42,Oppenheimer,2128599239,,,8
47,World Center Beth Medrash,6466429767,,,3
54,Eagle Paper  Inc.,2126049605,,,4
58,Young Israel Of Manhattan,2127320966,,,1
59,Bialystoker Shul,2124750165,info@bialystoker.org,http://www.bialystoker.org/index.htm,12
64,Beth Israel Linsky Building,2124202759,,,13
71,Jay Imports,2126832727,djay@jimport.com,,14
79,Horizon Hosiery Mills,2122398660,ike@horizonmills.com,,15
81,Khal Adath Jeshurun,2129233582,office@kajinc.org,http://kajinc.org/,1
82,Beth Medrash Yeshurun,2127955693,,,17
83,Yeshiva University   Belfer Hall,,,https://www.yuzmanim.com/,7
84,Yeshiva University   Furst Hall,,,http://yuzmanim.com/,8
85,Yeshiva University   Fischel Beis Medresh,,,http://yuzmanim.com/,9
90,Orach Chaim,2127226566,OrachChaim@aol.com,http://www.orachchaim.org/,22
92,Congregation Ramath Orah,2122222470,info@ramathorah.org,http://www.ramathorah.org/,23
94,Harlem Area Minyan,"2,124,261,284,118",,,11
95,Columbia Presbyterian Medical Center,2123055817,lek9016@nyp.org,,12
101,Weil  Gotshal & Manges  Llp,2123108604,jprosen@aol.com,,13
105,West Side Kollel,2127249848,wskollel@wskollel.com,http://www.wskollel.com/,28
106,Heichal Moshe,2123621091,,http://www.heichalmoshe.com/,29
108,Frenkl  Hershkowitz & Shafran,2126794666,,,30
109,Malbridge Building Minyan,2129470607,,,31
111,Finesheer,2125944224,hr@finesheer.com,,32
117,Jou Jou,"21,299,702,301,203",amasry@bbcapparal.com,,33
120,Play Knits,2123910170,BKROUB@venturany.com,,34
123,Bkd Llp (Formerly Loeb And Troper),,,,15
125,Chabad Lubavitch Of Midtown Manhattan Center,2129720770,chabadNYC@AOL.com,http://www.chabadmidtown.com,16
130,Kollel Toras Chesed,8476747959,,,17
136,Tifereth Israel,7184294100,,,18
144,Lic Mincha Minyan,9178863448,,,40
146,Nys D.H.C.R.,7182625029,,,41
150,Beth Shalom Chabad,5167393636,,,42
152,Mesivta Of Long Beach,5162554700,mlb@mlb.edu,,43
154,Gurwin Jewish Nursing & Rehabilitation Center,6317152000,info@gurwin.org,http://www.gurwin.org/,44
157,Arie Crown Hebrew Day School,8479829191,,http://www.ariecrown.org/,46
158,Atereth Yehoshua,7737641382,,,21
162,Beth Hamedrash Hagadol   Kesser Maariv,8476799800,bhhkmal@yahoo.com,http://www.kessermaariv.org/,48
163,Beth Itzchok,7739732522,,,49
164,Bnei Ruven,7737435434,bneiruven@gmail.com,http://www.bneiruven.org/,22
165,Chai Center   Chabad Of Wilmette,8472517707,info@chaicenter.com,http://www.chaicenter.com/,51
166,Cheder Lubavitch,8476756777,,http://www.clhds.com/,52
168,Chevra Kadisha Machzikei Hadas,7737648760,rabbidovid@hotmail.com,http://www.thebarmitzvahinstitute.org/,54
169,Adas Bnei Israel,7732623698,,,24
170,Adas Yeshurun,7734652288,Office@adasyeshurun.com,http://www.adasyeshurun.com,56
172,Agudath Israel Bikur Cholim,7735880021,,,25
174,Anshe Motele,7737432420,anshemotele@sbcglobal.net,,59
176,Chicago Community Kollel,7732629400,cckollel@cckollel.org,,28
178,Free,7732745123,free@obshina.com,http://www.obshina.com/,62
179,Hebrew Theological College,8479822500,htc@htc.edu,http://www.htc.edu/,10
180,Ida Crown Jewish Academy,7739731450,icja@icja.org,http://icja.org/,30
181,Kehilath Jacob Beth Samuel,7735397779,rabbileibtag@kjbs.org,,11
185,Lubavitch Chabad And F.R.E.E. Of Niles,8472961770,chabad@bsinet.net,,66
189,Yeshivas Ohr Eliyahu Lubavitch Mesivta,7732620430,rabbi@lmchicago.org,http://www.lubavitchmesivta.com/,33
190,Mishna Ugemora,7734651433,mishna_ugemora@sbcglobal.net,,69
191,Or Torah,8476793645,ortorah@sbcglobal.net,,34
193,Poalei Tzedek,7737645680,,,11
195,Ohel Shalom Torah Center,7734655274,office@ohelshalomchicago.org,http://www.ohelshalomchicago.org/,73
197,Shearith Yisroel,7732628840,kollel251@gmail.com,,38
198,Shevet Achim (Buckingham Pavilion),7739734843,office@buckinghampavilion.com,,16
199,Skokie Valley Agudath Jacob Mechitza Minyan,8476743473,admin@svaj.org,http://www.svaj.org/,40
200,Telshe Yeshiva,7734637738,,,78
201,Tifereth Moshe,,,,79
202,Yehuda Moshe,8476735870,,,80
203,Yeshivas Brisk,7732741177,,,81
205,Yeshiva Tiferes Tzvi,7739736150,,,82
209,Young Israel Of West Rogers Park,7735014728,webmaster@youngisraelwrp.com,http://www.youngisraelwrp.com/,84
210,M. Geller  Ltd.,3129841041,marc@mgellerdiamonds.com,http://www.mgellerdiamonds.com/,85
211,Jewelers Club,,,,42
219,Agudath Israel,8453002463,,,43
220,Avnei Shlomo,8453520939,,,88
221,Congregation Bais Torah,8453521343,baistorah@gmail.com,http://www.baistorah.org/,44
222,Bais Aharon,,qweewq5763@yahoo.com,,90
223,Bais Tefilla,8453565089,,,91
225,Beth Israel (Bais Yisroel),,,,93
226,Bais Dovid,8453523100,,,94
227,Bais Medrash Elyon,8454999817,,,95
228,Belz,8455789002,,https://twitter.com/belzmonseynews,96
229,Bais Shraga,8453561980,,,97
234,Derech Emes,8454253629,,,99
237,Ahavas Torah,8454252061,,,48
239,Kasho,,,,102
241,Kehillas Yisrael,8454254164,,,103
242,Kehilas Bais Avrohom,,,http://www.kbaforshay.com/,104
243,Kehillas Prozdor,,Leibie@aol.com,http://www.prozdor.com/,105
244,Khal Adath Jeshurun,8454260178,ravmbl@gmail.com,,106
245,Knesset Yisrael,8453540933,http://www.ckynh.org		,mailto:http://www.ckynh.org		,21
251,Ohaiv Yisrael,8453565728,https://www.ohaivyisroel.com			,mailto:https://www.ohaivyisroel.com			,111
252,Ohel Ya'akov,8454259671,,,112
255,Ribnitz,8454262056,,,114
257,Stanislov,8454262056,,,115
258,Toldos Aharon,,,,116
259,Tzemach Tzedek Lubavitch,,,http://monseychabad.com/tzedek.htm,117
260,Vien Beis Meir,8453521177,,,118
261,Khal Torath Chaim Viznitz,8453566666,,,119
262,V'lednick,,,,120
263,Yeshiva D'monsey,8454263276,,,121
266,Kneseth Israel (The White Shul),7183270500,https://www.whiteshul.com/		,mailto:https://www.whiteshul.com/		,21
267,Young Israel Of Far Rockaway,7184716724,,https://www.yifr.org/,22
269,Mateh Zevulun / Rabbi Farkas Shul,7183278209,,,124
270,Bikur Cholim Machzikay Hadath,2067210970,Office@BCMHSeattle.org,http://www.bcmhseattle.org,56
272,Maghain Aboth Congregation,63372189,Rabbimabergel@jwb.org.sg,http://www.singaporejews.com/,126
275,Citibank,7182488214,emanuel.schorr@citi.com,,127
276,Shomrei Emunah,4103588604,,http://www.shomreiemunah.org/,128
277,Shaarei Tefila,3239387147,shaarei@gmail.com,http://shaareitefila.org/,57
280,Idt,9734383834,minyan@idt.net,,131
282,Cong. Shomrei Shabbos Anshei Sfard,7186643400,css1353@verizon.net,https://chat.whatsapp.com/invite/Lq18Biiak9FJ0hzAyvsyRG,132
284,Shtiblach Of Katamon,,,http://www.shtiblachkatamon.com/,133
286,Meal Mart/Alle Processing,7188942000,,,135
288,Capitol Hill Branch Of Bikur Cholim,2066597485,,http://capitolhillminyan.org/Visitor_Info.html,136
292,Congregation Beth Yehuda,7189836035,,http://nachas.org/BethYehuda,31
293,Beth Shloime,7185014816,,http://www.mikesturm.com/bethshloime/,139
294,Ohr Hachaim,7187618551,,,140
